grouping,pulled_from_neshap,pulled_from_proposed,is_direct_mechanical,entity,Utility ID,Utility Name,Plant Code,Plant Name,State,County,X_COORDINATE,Y_COORDINATE,Generator ID,Turbine Make,Turbine Model,Permit Emission Controls,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Associated with Combined Heat and Power System,Sector Name,Sector,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?,Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Topping or Bottoming,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year
Other,FALSE,FALSE,FALSE,Invester-owned utility,65448,"Generation Bridge II Connecticut, LLC",568,Bridgeport Station,CT,Fairfield,-73.181672071764,41.1673371493301,502,,,,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,200.6,0.85,154.6,150.8,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,N,N,N,N,82,N,,,X,6,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Invester-owned utility,65448,"Generation Bridge II Connecticut, LLC",568,Bridgeport Station,CT,Fairfield,-73.181672071764,41.1673371493301,501,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,375.7,0.85,342,364,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,N,N,N,,155,N,,,X,6,2019,,,X,,,,,1H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,19002,"CPV Towantic, LLC",56047,CPV Towantic Energy Center,CT,New Haven,-73.1222732315745,41.4834593338132,STG,,,,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,280.5,0.85,273.9,293,OP,N,IPP Non-CHP,2,NG,DFO,,,,,,,,,,N,,,N,N,Y,Y,N,,N,,,X,5,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,19002,"CPV Towantic, LLC",56047,CPV Towantic Energy Center,CT,New Haven,-73.1222732315745,41.4834593338132,CTG1,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,UN.TOWANTIC1A.0TO1A,UN.TOWANTIC1A.0TO1A,280.5,0.85,248,288,OP,N,IPP Non-CHP,2,NG,DFO,,,,,,,,,,,,,N,N,Y,Y,N,,N,,,X,5,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,19002,"CPV Towantic, LLC",56047,CPV Towantic Energy Center,CT,New Haven,-73.1222732315745,41.4834593338132,CTG2,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,UN.TOWANTIC1B.0TO1B,UN.TOWANTIC1B.0TO1B,280.5,0.85,248,288,OP,N,IPP Non-CHP,2,NG,DFO,,,,,,,,,,,,,N,N,Y,Y,N,,N,,,X,5,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,-72.8347822739034,41.4482202039226,CTG6,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,UN.WALNGFRD13.8WAL1,UN.WALNGFRD13.8WAL1,50,0.85,47.4,49.8,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,2,N,,,X,5,2018,,,X,,,,,1H,,,,,,,,,,,,,,N,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,-72.8347822739034,41.4482202039226,CTG7,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,UN.WALNGFRD13.8WAL1,UN.WALNGFRD13.8WAL1,50,0.85,46.2,50,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,2,N,,,X,5,2018,,,X,,,,,1H,,,,,,,,,,,,,,N,,
Other,FALSE,FALSE,FALSE,Commercial,63113,"Architect of the Capitol, Capitol Power Plant",63347,"AOC, Capitol Power Plant",DC,District of Columbia,-77.0074634893566,38.8824295717272,CTG1,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,NA,NA,7.5,0.8,7.5,7.5,OP,Y,Commercial CHP,5,NG,DFO,,,,,0,,,,,,,,N,N,Y,Y,N,7,N,,,X,8,2018,,,T,,,,,1H,,,,,,,,,,,,,,N,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,CC1ST,,,,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,364.7,0.85,322,335,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,322,N,,,X,10,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,CC2ST,,,,Natural Gas Fired Combined Cycle,CA,CC2,S,Y,X,,,364.7,0.85,320,336,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,320,N,,,X,11,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6452,Florida Power & Light Co,60345,Okeechobee Clean Energy Center,FL,Okeechobee,-80.7914165744129,27.6432278762193,1ST,,,,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,593.3,0.85,593.3,593.3,OP,N,Electric Utility,1,NG,DFO,,,,,,,,,,,,,,,Y,Y,N,,N,,,X,3,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Municipal,6909,Gainesville Regional Utilities,664,John R Kelly,FL,Alachua,-82.3214258962903,29.6464940323222,8.2,,,,Natural Gas Fired Combined Cycle,CA,G681,S,N,X,,,45.5,0.85,41,40,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,N,N,N,N,34,N,,,X,7,2021,,,X,,,,,12H,,,,,,,,,,,,,,N,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6452,Florida Power & Light Co,65978,Dania Beach 7,FL,Broward,-80.1247944212525,26.0856497754629,ST7,,,,Natural Gas Fired Combined Cycle,CA,DBCC,S,N,X,,,463.3,0.85,377.8,369.6,OP,N,Electric Utility,1,NG,DFO,,,,,,,,,,,,,,N,Y,Y,N,,N,,,X,5,2022,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,1GTA,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,310.3,0.85,243,295,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,243,N,,,X,10,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,1GTB,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,310.3,0.85,242,295,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,242,N,,,X,10,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,2GTA,,,,Natural Gas Fired Combined Cycle,CT,CC2,S,X,N,,,310.3,0.85,241,296,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,241,N,,,X,11,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6455,"Duke Energy Florida, LLC",628,Crystal River,FL,Citrus,-82.6891868756954,28.9651335737021,2GTB,,,,Natural Gas Fired Combined Cycle,CT,CC2,S,X,N,,,310.3,0.85,242,297,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,N,N,242,N,,,X,11,2018,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6452,Florida Power & Light Co,60345,Okeechobee Clean Energy Center,FL,Okeechobee,-80.7914165744129,27.6432278762193,1A,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,376.6,0.85,376.6,376.6,OP,N,Electric Utility,1,NG,DFO,,,,,,,,,,,,,,,Y,Y,N,,N,,,X,3,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6452,Florida Power & Light Co,60345,Okeechobee Clean Energy Center,FL,Okeechobee,-80.7914165744129,27.6432278762193,1B,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,376.6,0.85,376.6,376.6,OP,N,Electric Utility,1,NG,DFO,,,,,,,,,,,,,,,Y,Y,N,,N,,,X,3,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,6452,Florida Power & Light Co,60345,Okeechobee Clean Energy Center,FL,Okeechobee,-80.7914165744129,27.6432278762193,1C,,,,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,376.6,0.85,376.6,376.6,OP,N,Electric Utility,1,NG,DFO,,,,,,,,,,,,,,,Y,Y,N,,N,,,X,3,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
